Aerolinea,Origen,Destino,Número de vuelos,Precio medio,Duración media del vuelo,Número promedio de escalas,Promedio días de antelación,Porcentaje de vuelos business,Número de vuelos_log,Precio medio_log,Duración media del vuelo_log,Promedio días de antelación_log,Número de vuelos_log_log,Precio medio_log_log,Duración media del vuelo_log_log,Promedio días de antelación_log_log
AirAsia,Delhi,Bangalore,1611,60.21862011173235,8.244294432029843,1.1080074487895717,26.14587212911235,0.0,7.385230923066573,4.1144513934352815,2.2240065430548155,3.301224995377401,2.1264719349158185,1.6320701391910633,1.170624854125826,1.458899864774068
AirAsia,Mumbai,Bangalore,548,40.32783394160567,8.998570656934312,0.7682481751824818,27.541970802919707,0.0,6.3080984415095305,3.7215362182851544,2.3024421484713953,3.351375663726226,1.9889831088012713,1.5521342166192693,1.1946622397654962,1.4704920396405945
AirAsia,Hyderabad,Delhi,618,44.93635436893192,9.254422880258906,1.0,26.501618122977348,0.0,6.428105272684596,3.8272568377544713,2.3277091130279066,3.3142448437770113,2.0052708158031436,1.5742783638301538,1.2022841131977064,1.4619223019839194
GO FIRST,Ahmedabad,Chennai,2,187.682,1.0916700000000001,1.0,1.0,0.0,1.0986122886681096,5.240063058317482,0.7379627899739661,0.6931471805599453,0.7412763113750152,1.8309902878298725,0.5527136169327476,0.5265890341390445
GO FIRST,Chennai,Delhi,10,66.85799999999999,4.9516659999999995,1.0,1.5,0.0,2.3978952727983707,4.217417286478497,1.7836711803648542,0.9162907318741551,1.223156202527103,1.6520025067488753,1.0237706249954488,0.65039140701146
GO FIRST,Bangalore,Chennai,4,91.87199999999999,6.9333350000000005,1.0,1.5,0.0,1.6094379124341003,4.531222201035734,2.071073502093331,0.9162907318741551,0.9591348389208239,1.710408803960024,1.1220271754260367,0.65039140701146
GO FIRST,Chennai,Ahmedabad,4,79.6565,1.0499999999999998,1.0,1.5,0.0,1.6094379124341003,4.390199396487892,0.7178397931503168,0.9162907318741551,0.9591348389208239,1.684582378019193,0.5410675672640728,0.65039140701146
Indigo,Mumbai,Delhi,1555,47.59289067524182,4.263676250803824,0.529903536977492,26.016077170418008,0.0,7.349873704738337,3.883477237803702,1.6608296896247872,3.2964321395500935,2.12224641356734,1.5858575148530047,0.9786379875515155,1.4577849432905592
AirAsia,Mumbai,Kolkata,471,44.45130360934197,9.849221486199545,1.3906581740976645,28.339702760084926,0.0,6.156978985585555,3.81664150248591,2.384093324988135,3.378941641787067,1.968087962547812,1.5720769014792952,1.2190860196698887,1.4768070608948947
AirAsia,Hyderabad,Kolkata,411,37.48418978102196,7.806082773722607,0.9975669099756691,26.856447688564476,0.0,6.021023349349527,3.6502475019134764,2.1754427069853435,3.327064454427578,1.9489089836740094,1.536920444400752,1.1554470578954354,1.4648893570013635
